Epoch,Phase,Train_Total_Loss,Train_Native_Loss,Train_CE_Loss,Train_Lovasz_Loss,Val_CE_Loss,Val_mIoU,Val_mAcc,Val_aAcc,LR_Backbone,LR_Head,Epoch_Time_sec,Epoch_Time_min,Val_mIoU_pct,Val_mAcc_pct,Val_aAcc_pct
1,1,15.469286787369672,12.966471590234452,2.06288426976244,0.8781885853735338,2.0184610860347747,0.817655941778044,0.8829041449784608,0.966573620523806,0.0,1.116e-05,952.5725772380829,15.876209620634715,81.7655941778044,88.29041449784609,96.6573620523806
2,1,14.644820828237453,13.079519867656611,1.1867880270235678,0.7553866836628994,0.4999354228898883,0.7692834115162592,0.8071920593546341,0.9587466551069724,0.0,2.232e-05,954.8453986644745,15.914089977741241,76.92834115162593,80.7192059354634,95.87466551069724
3,1,13.726702048117373,12.875798550894281,0.5271316916727218,0.6459508483813089,0.43896272431313993,0.7755287383217381,0.8140413071160557,0.9598373092344488,0.0,3.3480000000000005e-05,944.9085748195648,15.748476246992746,77.5528738321738,81.40413071160557,95.98373092344488
4,1,13.721436077005723,12.976174745078849,0.43744019315241517,0.6140242594192509,0.379593086913228,0.7797834845482176,0.8288912360581312,0.9615095579605047,0.0,4.464e-05,956.4153344631195,15.940255574385326,77.97834845482176,82.88912360581313,96.15095579605047
5,1,13.763430337104477,13.089798704596127,0.37687721522853657,0.5919084513243758,0.3427423121854663,0.7849156194166207,0.8279396908417763,0.9627183372962506,0.0,5.58e-05,947.4877622127533,15.791462703545887,78.49156194166207,82.79396908417763,96.27183372962506
6,1,13.911407447863025,13.25061889720564,0.3677720540802644,0.5844263904247464,0.33673800553381444,0.7933637464744596,0.8403115172176486,0.9637473830693941,0.0,5.9548514007347115e-05,959.9617786407471,15.999362977345784,79.33637464744596,84.03115172176486,96.3747383069394
7,1,13.955610906857402,13.307719277934869,0.35614503848429047,0.5818900133456503,0.3171558537632227,0.7513164192602165,0.7979601244863764,0.9620585926921262,0.0,5.8823783530954605e-05,950.9880499839783,15.849800833066304,75.13164192602166,79.79601244863764,96.20585926921262
8,1,13.91201552823812,13.287165539284715,0.33628602922369705,0.5755321370271728,0.3494043029695749,0.7981963686132747,0.8406465125866688,0.96408828786439,0.0,5.809805956014029e-05,957.99294090271,15.966549015045166,79.81963686132747,84.06465125866688,96.408828786439
9,1,13.620019372090573,13.000322157675479,0.3358117562003371,0.5661547734794997,0.31508793679624797,0.7929697910497207,0.8384160801713875,0.9641452714482838,0.0,5.737132690500098e-05,946.6756410598755,15.777927350997924,79.29697910497207,83.84160801713875,96.41452714482838
10,1,13.764988835559171,13.152988690248057,0.3296980166888968,0.5630092358360647,0.32000793317705395,0.794115099931895,0.8363744266646067,0.9636149637109443,0.0,5.66435699259948e-05,952.2216637134552,15.87036106189092,79.4115099931895,83.63744266646067,96.36149637109443
11,1,13.830794323752908,13.225428124676231,0.3236554703723733,0.5618120501888525,0.3335110657736659,0.8027793067368734,0.8480056083161828,0.964845107937622,0.0,5.591477251401186e-05,941.6789529323578,15.694649215539297,80.27793067368734,84.80056083161827,96.4845107937622
12,1,13.601251740415558,13.010433389679724,0.311131713344019,0.557751916271924,0.292143236219883,0.7973706149716621,0.8413431334029344,0.9644974061150037,0.0,5.518491806925956e-05,956.2990283966064,15.938317139943441,79.73706149716621,84.13431334029345,96.44974061150037
13,1,13.525406513935378,12.93082676518865,0.31536281536278477,0.5567665715780923,0.30599511167407034,0.7948551373909679,0.8355921093724609,0.963940706325279,0.0,5.4453989478873696e-05,948.7581171989441,15.812635286649067,79.48551373909679,83.55921093724609,96.3940706325279
14,1,13.573632636350744,12.99042674946184,0.30485794524310017,0.5550760074786278,0.30512714783847333,0.8015253479169896,0.8451843041477068,0.9647345321954572,0.0,5.3721969093158235e-05,954.7905161380768,15.913175268967946,80.15253479169895,84.51843041477069,96.47345321954572
15,1,13.547540583410182,12.96373596399772,0.30735156274893705,0.5512951688268104,0.3171994701549411,0.8026130728636085,0.8458652331311339,0.9651222299401206,0.0,5.298883870034772e-05,957.4649033546448,15.95774838924408,80.26130728636085,84.58652331311339,96.51222299401206
16,1,13.719942953646683,13.143633450780596,0.3011931101073112,0.5486326910198486,0.3028164606243372,0.800321189618353,0.8455368639217626,0.9646109479914751,0.0,5.2254579499776146e-05,938.4948627948761,15.641581046581269,80.0321189618353,84.55368639217626,96.4610947991475
17,1,13.676362949820126,13.10994718808086,0.29266605909444204,0.5458848011612641,0.2927107949405909,0.799250509347592,0.8466489951444268,0.9644168777495609,0.0,5.151917207332545e-05,946.9022326469421,15.781703877449036,79.9250509347592,84.66489951444268,96.44168777495608
18,1,13.734375081743513,13.17554557455688,0.28692713510837925,0.5422182089959843,0.2829416407868266,0.7981925254928659,0.8435411089441895,0.9641004610104431,0.0,5.078259635501386e-05,936.3149974346161,15.605249957243602,79.81925254928659,84.35411089441895,96.41004610104432
19,1,13.700037883389898,13.166991663860674,0.2664781755979071,0.5315186617836481,0.2446142229139805,0.800375177687522,0.8456241823204693,0.9646523321079953,0.0,5.004483159857127e-05,944.6053912639618,15.743423187732697,80.0375177687522,84.56241823204694,96.46523321079952
20,1,13.946967595204585,13.41900040402132,0.2616579749327184,0.5310372619919417,0.2519532477855682,0.7989107658782696,0.8433046799567524,0.9644712823232946,0.0,4.930585634283294e-05,950.3266153335571,15.838776922225952,79.89107658782696,84.33046799567524,96.44712823232946
21,2,14.006781294125469,13.48944732345453,0.2509068566153781,0.5312551355587334,0.24987493494153024,0.7990037657983304,0.8480447106038401,0.9646910837803184,1.6188549458255308e-06,1.618854945825531e-05,1250.3836760520935,20.83972793420156,79.90037657983305,84.80447106038402,96.46910837803185
22,2,13.66885621439509,13.15730295012979,0.2497262506816192,0.5220421021425423,0.24251640947163106,0.8001809334121205,0.846739633386971,0.9646999549209744,1.5941394896641165e-06,1.5941394896641166e-05,1234.4351961612701,20.57391993602117,80.01809334121205,84.6739633386971,96.46999549209744
23,2,13.734855413677312,13.221755950591144,0.24968651728563698,0.5252391068368149,0.2385776642113924,0.8003127033881424,0.8463928613738565,0.9645601834752102,1.5693813816700292e-06,1.5693813816700295e-05,1230.8576748371124,20.51429458061854,80.03127033881424,84.63928613738565,96.45601834752102
24,2,13.470396490738171,12.960399421323247,0.24625832888321214,0.5258551075616303,0.2372952394336462,0.7924506855515449,0.8398643240756647,0.9640059198413828,1.5445797979313969e-06,1.544579797931397e-05,1232.4688928127289,20.54114821354548,79.24506855515449,83.98643240756647,96.40059198413829
25,2,13.62465322742943,13.11549486689207,0.2461120767165132,0.524488025482337,0.24144804403185843,0.7934669146934514,0.8427299592369816,0.9645007735498341,1.5197338836072792e-06,1.5197338836072795e-05,1235.212490081787,20.586874834696452,79.34669146934515,84.27299592369816,96.4500773549834
