epoch,phase,train_total_loss,train_main_loss,train_aux_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro,amp_overflow_skips,amp_scale
1,train/val,13.443428112112958,9.738718382690264,9.261774068293365,2.1768905457983507,9.041043450837034,6.47208208932425,8.524258038428286,2.688440519123121,9.834025286544229,7.569724010261323,0.0009983202910568178,19.87870717048645,0:00:19,7.0025009665680376,9.041043450837034,4.141888260202634,6.47208208932425,6.47208208932425,6.47208208932425,15.241394807010245,9.834025286544229,5.068520189169845,7.569724010261323,7.569724010261323,7.569724010261323,3,8192.0
2,train/val,11.883223642473634,8.299705552018207,8.958795070648193,3.3889038705167183,10.932005847883673,9.184592322302763,6.942533753699326,4.881658474712753,12.809529318760404,12.576163471797635,0.000996460246914143,18.400410652160645,0:00:38,16.006730949690468,10.932005847883673,6.359750062433787,9.184592322302763,9.184592322302763,9.184592322302763,24.133679950829688,12.809529318760404,8.81778020497734,12.576163471797635,12.576163471797635,12.576163471797635,0,8192.0
3,train/val,10.20310815780059,6.698734127956888,8.760934959287228,5.194166845332637,13.76612395225581,13.912326623101887,4.832276474764955,7.896489167538864,15.879187955541656,20.31756394921711,0.0009945998169073496,18.203656911849976,0:00:56,21.908703429955807,13.76612395225581,9.440797430814673,13.912326623101887,13.912326623101887,13.912326623101887,25.852360423384035,15.879187955541656,13.657182745044654,20.31756394921711,20.31756394921711,20.317563949217114,0,8192.0
4,train/val,8.748568016549815,5.4027941576812575,8.364434519539708,8.364201636584218,17.240201143606658,21.984494743674695,3.6775801236794767,12.028017769834856,20.63442845480785,31.487278736416833,0.000992739000154089,18.174586057662964,0:01:14,25.91183917503137,17.240201143606658,14.4363625643051,21.984494743674695,21.984494743674695,21.984494743674695,28.53350276728352,20.63442845480785,19.319715439757733,31.487278736416833,31.487278736416833,31.487278736416833,0,8192.0
5,train/val,7.937103009742239,4.714186104743377,8.057292124499446,11.755020895456628,21.51889414434665,31.122198825427628,3.2147056749779748,15.609288471085142,25.332384202014346,39.99336888561617,0.0009908777957681508,17.38894009590149,0:01:32,27.54809679929078,21.51889414434665,19.136032703564567,31.122198825427628,31.122198825427628,31.122198825427628,30.566300019194752,25.332384202014346,23.648785036768427,39.99336888561617,39.99336888561617,39.99336888561617,0,8192.0
6,train/val,7.218655205291251,4.149064627678498,7.673976333244987,15.796757080376086,25.532978981744876,41.284449443103554,2.1916260717268012,20.590420828347458,30.387699806483383,52.63055284469543,0.000989016202859443,16.987962245941162,0:01:49,29.79012441743033,25.532978981744876,24.034426796823848,41.284449443103554,41.284449443103554,41.284449443103554,32.98564738627704,30.387699806483383,29.09425214218566,52.63055284469543,52.63055284469543,52.63055284469543,0,8192.0
7,train/val,6.58864544785541,3.7345679557841756,7.135193573391955,19.351342953084767,29.144255882921588,49.991124754539776,1.839499137525116,23.240570467799447,32.48141964534734,59.246154098231095,0.0009871542205339603,17.067489624023438,0:02:06,31.288942443469796,29.144255882921588,27.834340127503726,49.991124754539776,49.991124754539776,49.991124754539776,33.525265753199754,32.48141964534734,31.525234688806137,59.246154098231095,59.246154098231095,59.246154098231095,0,8192.0
8,train/val,6.293886011061461,3.593077502820803,6.752021157223245,21.73001869142059,31.66876925474852,55.170257441382475,1.543305024348067,26.063653422062117,35.50495579049973,64.64081179549507,0.000985291847893765,17.17160701751709,0:02:23,32.31951593763341,31.66876925474852,30.36750804562638,55.170257441382475,55.170257441382475,55.170257441382475,35.47628894147612,35.50495579049973,34.37027400904414,64.64081179549507,64.64081179549507,64.64081179549507,0,8192.0
9,train/val,5.96393351710361,3.4082352506077807,6.389245493256527,23.475207410774797,33.746604192004554,59.20348994439709,1.438323502073595,26.931044863721095,36.93169618713384,65.75249469358862,0.0009834290840369554,17.116706609725952,0:02:40,33.41906225477524,33.746604192004554,32.25623954492593,59.20348994439709,59.20348994439709,59.20348994439709,36.10364454401363,36.93169618713384,35.41231626047029,65.75249469358862,65.75249469358862,65.75249469358862,0,8192.0
10,train/val,5.738612986129263,3.3205853584020035,6.045068950756736,25.174563714756964,35.68659416986548,61.89340951522554,1.3588185369303174,28.461528692033028,38.276851620006695,69.35889119819655,0.0009815659280576446,17.131981134414673,0:02:57,34.796360993776,35.68659416986548,34.1165445897613,61.89340951522554,61.89340951522554,61.89340951522554,37.29466454500381,38.276851620006695,36.86557412435042,69.35889119819655,69.35889119819655,69.35889119819655,0,8192.0
