epoch,phase,train_total_loss,train_seg_loss,train_detail_loss,train_epnet_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
1,train/val,3.8350837956304136,2.5221620746280835,1.3129217171150704,0.0,11.15905227364309,21.08292514531073,19.535128087222763,1.9596525263786315,15.317119912783788,24.3765143872458,34.33243190079687,0.0004962484327046984,33.00672149658203,0:00:33,18.770404708676143,21.08292514531073,17.59384316511327,32.685166946018256,32.685166946018256,32.685166946018256,29.413019096027064,24.3765143872458,19.961646997123943,51.11562623410409,51.11562623410409,51.11562623410409
2,train/val,3.277416309584742,2.2543284400649695,1.0230878740549088,0.0,11.795811014709487,22.207330424566642,22.214156665881152,1.9774045836925507,8.673634102464451,23.00438887129908,16.604569740370234,0.000492493711467861,30.242069959640503,0:01:03,20.44507956349752,22.207330424566642,18.45481695551211,36.35283713753717,36.35283713753717,36.35283713753717,23.67520341485489,23.00438887129908,14.257019773038751,28.48013551671549,28.48013551671549,28.48013551671549
3,train/val,3.118258491806362,2.200088972630708,0.9181695133447647,0.0,14.017354394881366,23.949312349943895,26.64527112254143,1.9213701272010804,14.659233006504607,28.04628069582692,32.274048689183026,0.0004887358068751748,31.033000946044922,0:01:34,22.157505650557958,23.949312349943895,21.61629686277496,42.07858830632464,42.07858830632464,42.07858830632464,25.727795158999285,28.04628069582692,21.557666741541716,48.798761373095104,48.798761373095104,48.798761373095104
4,train/val,3.080626868683359,2.2057422632756443,0.8748845982810726,0.0,13.761984595190674,24.650048332779885,23.948064544468057,1.8188101744651795,15.188375525465956,25.245033359081553,30.793193099557215,0.0004849746889841331,30.311124086380005,0:02:04,21.707686323224078,24.650048332779885,22.104775259995506,38.64209519121029,38.64209519121029,38.64209519121029,34.42842777993243,25.245033359081553,21.783599145683866,47.08684354256577,47.08684354256577,47.08684354256577
5,train/val,3.036911964416504,2.1782821002213852,0.8586298499418341,0.0,13.229459029360575,25.121897767129347,27.216615904919024,1.9119236731529237,15.384944675013621,28.715175698873512,30.300374650959295,0.0004812103273099131,31.168745040893555,0:02:35,22.048251855691113,25.121897767129347,21.39218316211797,42.787831937394984,42.787831937394984,42.787831937394984,29.1914397651344,28.715175698873512,22.686453767999478,46.508499660305795,46.508499660305795,46.508499660305795
6,train/val,3.0107079951659492,2.1703746189241824,0.8403333755938903,0.0,16.13564889825453,28.373409453618688,30.01711533817648,1.8188415050506592,17.04340542680379,34.552556448593734,24.580251728135273,0.00047744269081074987,30.038419723510742,0:03:05,24.140734419875123,28.373409453618688,24.94777878622064,46.17409832559584,46.17409832559584,46.17409832559584,32.61781087137087,34.552556448593734,24.903051604341655,39.46091196183393,39.46091196183393,39.46091196183392
7,train/val,2.980560116145922,2.160549828539724,0.8200102973243465,0.0,17.774689273405023,29.80846569838953,29.658460444616292,1.8220474123954773,17.80614888445573,36.102898438905456,24.362317220618525,0.00047367174787278453,29.967459678649902,0:03:35,26.583709474058487,29.80846569838953,26.893358260388162,45.74859263778614,45.74859263778614,45.74859263778614,31.365840110611494,36.102898438905456,26.364863813200586,39.17958070433799,39.17958070433799,39.17958070433799
8,train/val,2.933739960193634,2.1282843753047613,0.8054555855367495,0.0,21.205806296442002,33.71572706408932,37.1278901351161,1.69878054022789,26.59527481708465,41.55850913017826,45.34157702961869,0.00046989746629436113,30.189233541488647,0:04:05,30.01089509371424,33.71572706408932,30.542110422119638,54.15074949163574,54.15074949163574,54.15074949163574,36.53810320305632,41.55850913017826,37.110595136667506,62.393126531685674,62.393126531685674,62.393126531685674
9,train/val,2.9134297655976336,2.1008815208207006,0.8125482376502908,0.0,21.372614912541,34.92936672164768,36.576143653739216,1.7766693675518035,13.307630293593112,32.29816548808097,24.25937802566435,0.0004661198132697498,30.35610818862915,0:04:36,30.64866923841192,34.92936672164768,31.52927312569168,53.56154109383924,53.56154109383924,53.56154109383924,37.30516435002613,32.29816548808097,21.312503576715493,39.0463535406621,39.0463535406621,39.0463535406621
10,train/val,2.8613658884297246,2.0672276667926623,0.7941382112710372,0.0,21.87826691868087,36.44980430284176,38.15318684082451,1.7015411317348481,15.734670269949488,34.80269043771378,32.23764324409765,0.0004623387553722673,30.359020948410034,0:05:06,31.749129339536815,36.44980430284176,31.810057943337387,55.23316213441147,55.23316213441147,55.23316213441147,41.605856205564855,34.80269043771378,23.78048597850687,48.75713518969805,48.75713518969805,48.75713518969805
