Metric,Value
Best Validation mIoU (Macro),66.67%
Global Pixel Accuracy (aAcc),90.20%
Final Epoch Mean Class Acc (mAcc),72.33%
Final Epoch Mean Recall (Macro),72.33%
Final Epoch Mean F1 Score (Macro),75.00%
Total Training Time,02:11:01
