Metric,Value
Best Validation mIoU,81.54%
Global Pixel Accuracy (aAcc),96.55%
Final Epoch Mean IoU (mIoU),80.54%
Final Epoch Mean Class Accuracy (mAcc),85.89%
Total Training Time,"2 days, 4:42:23"
