,Sky,Building,Pole,Road,Pavement,Tree,SignSymbol,Fence,Car,Pedestrian,Bicyclist
Sky,95.87798730947227,0.8928426398187826,0.2700650326787734,0.0,0.0,2.88628658088181,0.05557827991222655,0.0,0.016880218193201988,0.00011075047475036842,0.000249188568188329
Building,0.48500125966480545,95.22151793609923,0.4776117919174378,0.07033027465542288,0.7046181809276322,1.314131062849151,0.5641334269938773,0.4070451027893756,0.4532489774164772,0.26012260090836503,0.04223938577822674
Pole,6.109813640225668,32.39477863736226,37.15222531082802,0.765836397496354,3.1449924916586007,9.575046629613015,4.139180559382253,2.749452201220665,2.5026362140072043,1.2043639259176981,0.2616739922882626
Road,4.2647031089022267e-05,0.024597859820346065,0.014191984234624632,97.33520500096145,1.73250720663747,0.0995286934437582,0.004766990363950711,0.011434142890867858,0.7017521580108514,0.013756036805714626,0.06221727979987359
Pavement,0.0,1.3767142010278925,0.19488483571354748,6.705030362397518,90.18308336696494,0.34757630695093616,0.04481542751973157,0.27295676283592724,0.5588490366868135,0.2474571997371819,0.06863250016551772
Tree,4.531298981972624,3.670973697252191,0.5532348643151126,0.11104904251004558,0.1987391355269129,89.75082965774665,0.3194767595313528,0.5040915774580041,0.30418514295586296,0.04762579818931177,0.008495342541938783
SignSymbol,0.18175218274564248,24.67015226680762,2.503136403293701,0.007769364504193546,0.04623408713151242,3.097683837811332,66.01043132709663,0.4257866481560496,2.9938800333700573,0.01935972794487572,0.043814121138402946
Fence,0.0,11.139029526003839,0.9598031827753006,0.12221273452133535,2.0952871714250207,6.127281370880308,0.0318072322121759,75.60533495067598,2.7872939797687764,1.0780257627180478,0.0539240890192086
Car,0.019054096209134164,2.2374230318495685,0.09614168603458402,1.4460597646622395,0.4552186584005239,0.5728032285170686,0.37310056234876865,0.35736266577485254,93.54881136725787,0.4744413749300928,0.4195835640152995
Pedestrian,0.0010782903490857176,13.685661110595928,1.1000718141372492,0.625192744399899,4.633197971951511,1.3724479563163015,0.10480982193113175,2.0321459918869436,6.470389068723757,68.04249326607676,1.9325119636314232
Bicyclist,0.0020564223538985364,3.2623671771490352,0.15834452125018728,3.9022083038334645,1.163053728440615,1.5675813829146554,0.04494751716378229,0.10987170862257892,8.43191920022797,4.028531391287232,77.32911864675658
