Metric,Value
Best Validation mIoU (Macro),75.10%
Global Pixel Accuracy (aAcc),90.69%
Final Epoch Mean Class Acc (mAcc),82.55%
Final Epoch Mean Recall (Macro),82.55%
Final Epoch Mean F1 Score (Macro),85.06%
Total Training Time,"1 day, 12:02:22"
