,Road,Sidewalk,Building,Wall,Fence,Pole,Traffic Light,Traffic Sign,Vegetation,Terrain,Sky,Person,Rider,Car,Truck,Bus,Train,Motorcycle,Bicycle
Road,97.18463513584864,1.25381545857091,0.04354748102438136,0.01429384822263965,0.1157540088179487,0.028516346121372608,0.0,0.007919885953642267,0.06067155876198626,0.7651608735753124,0.0,0.0029491467214763996,0.0,0.5213092499035582,0.0008324204455780162,0.0,0.0,0.0,0.0005945860325557258
Sidewalk,12.19462267680297,78.6059053145007,0.7013531541833429,0.0614107532346526,0.052234433785796466,0.4147696390882974,0.0,0.021176121805052624,1.6345142550593283,5.921973049855649,0.0,0.09077497547099224,0.0015529155990371922,0.25397228751526446,0.0005646965814680699,0.0,0.0,0.0,0.0451757265174456
Building,0.024202852760685806,0.9735351113851425,92.23515535548351,0.01253948706379423,0.1788930316044356,0.5083694231452648,0.016153487702267676,0.13289665984204627,4.268682329891454,0.05004843308431409,0.7709868028743352,0.005968576812024328,0.005640031299435832,0.6968450322001981,0.004271091663650436,0.0,0.022505367612311915,0.0003833030980199109,0.0929236224771127
Wall,0.4101150737877723,3.1535488404778635,5.198634047786367,69.22050685172172,0.5451730498945889,0.8251712930428671,0.0,0.07247013352073085,6.28952916373858,13.599679374560786,0.005490161630358398,0.0005490161630358398,0.009882290934645117,0.6692507027406887,0.0,0.0,0.0,0.0,0.0
Fence,4.645716408055464,4.14224991746451,0.7046467481016837,0.7613898976559921,46.01766259491581,2.1129085506767913,0.0,0.9336827335754374,20.62871409706174,10.136389897655992,0.8686860349950479,0.0,0.0,8.70027236711786,0.0,0.0,0.0,0.0,0.3476807527236712
Pole,0.5812114707605522,1.518097400880372,7.611226039933013,0.5485474897989869,1.776816869131501,61.606860472953706,0.8248951382515955,0.8720764440849679,17.924229933686934,2.5799360200753867,3.070932686275425,0.1327298273993768,0.006221710659345787,0.7875648742955208,0.14465477282978956,0.0,0.0,0.0,0.01399884898352802
Traffic Light,0.0,0.0,8.037284558564895,0.0,0.0,7.7764098956501355,64.20447883690937,0.9907374838785321,17.422910071520693,0.0,1.2721303787079374,0.0,0.0,0.0,0.2960487747684371,0.0,0.0,0.0,0.0
Traffic Sign,0.6546843269784499,0.13184614918316007,7.468250841087504,0.15306277089079504,1.5776073712605705,1.5412360197617676,0.9365623010941715,74.22028915224442,10.634073894462462,0.8926135846997849,0.9380777740732883,0.0,0.022732094686751733,0.7880459491407268,0.04091777043615312,0.0,0.0,0.0,0.0
Vegetation,0.033276058694872025,0.10078379623175086,0.8673788653341795,0.0733609109380794,0.309535604444248,0.31400654156120006,0.05114274251719562,0.05598910183480775,96.48026328700226,1.0757723159915011,0.4944992968512828,0.009914559026523408,0.00138223628424853,0.1162614296862375,0.009266102498110516,0.0015358180936094778,0.0,0.0,0.005631333009901419
Terrain,1.9420334362815788,1.360119928638028,0.12057239435668428,0.012189156716146201,0.10928027514778692,0.2668950418626298,0.0,0.030763109807416603,5.86097923780306,90.07238037345255,0.0,0.006226495638550872,0.0,0.20769056638420538,0.002110676487644364,0.0,0.0,0.0,0.008759307423724109
Sky,0.0,0.0,0.20656731975267842,0.0003355181154618491,0.0,0.28401608473845524,0.04193976443273113,0.02281523185140574,1.8336624206849155,0.0,97.6033381815701,0.0,0.0,0.001509831519578321,0.005815647334672051,0.0,0.0,0.0,0.0
Person,0.9081349775356083,5.396233629672116,31.90899531593538,0.44450817321479785,0.0,1.9883376350253321,0.0,0.5592199598508747,5.415352260778128,1.2761686263263552,0.0,44.67546123697544,0.9511518975241372,5.61131822961476,0.0,0.0,0.0,0.0,0.8651180575470796
Rider,0.0,0.1056859015007398,6.087507926442613,0.0,0.0,0.0,0.0,0.04227436060029592,50.34876347495244,6.2777425491439445,0.0,5.157471993236102,10.632001690974423,4.713591206932995,0.0,0.0,0.0,0.04227436060029592,16.59268653561615
Car,0.9833556108951144,0.1513210316822055,0.7155626794452979,0.04982409045614463,0.530224457989695,0.1652791720511811,0.0,0.04520218967171563,0.7762020177370065,0.3300961540239193,0.0,0.0005546280941314801,0.0,95.89482772327015,0.3544997901657044,0.0,0.0,0.0,0.0030504545177231406
Truck,2.6968145860654005,0.09729683996784974,4.274715512500529,0.002115148694953255,0.0,1.6286644951140066,0.010575743474766277,3.87918270654427,4.619484749777909,2.4408815939760564,0.14594525995177463,0.0,0.0,5.046744786158467,73.86945302254748,1.2860104065315792,0.0,0.0,0.002115148694953255
Bus,0.0,0.0,66.07538802660754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.92461197339246,0.0,0.0,0.0,0.0,0.0
Train,1.2522361359570662,0.0,6.261180679785331,0.0,0.5366726296958855,0.7155635062611807,0.0,4.114490161001789,30.590339892665476,7.5134168157423975,0.0,0.0,0.0,10.73345259391771,3.3989266547406083,34.883720930232556,0.0,0.0,0.0
Motorcycle,0.0,0.5205868433506862,0.14197823000473261,0.0,0.0,14.434453383814482,0.0,0.0,8.471367723615712,0.0,0.0,0.0,0.09465215333648841,76.3369616658779,0.0,0.0,0.0,0.0,0.0
Bicycle,0.3068450039339103,7.915027537372148,5.641227380015736,0.0,0.0,0.959874114870181,0.0,0.2989771833202203,20.49567269866247,17.53737214791503,0.0,2.2895357985837923,0.1022816679779701,3.099921321793863,0.0,0.0,0.0,0.07867820613690008,41.27458693941778
