frame_index,preprocess_ms,inference_ms,postprocess_ms,save_ms,total_ms,fps_equivalent
105,13.191,1364.743,3741.547,230.171,5349.687,0.18693
106,13.179,1389.939,2964.031,232.791,4599.975,0.21739
107,13.257,1316.738,2832.603,233.524,4396.158,0.22747
108,13.184,1471.309,2831.27,234.47,4550.27,0.21977
109,15.542,1452.562,2805.636,237.652,4511.429,0.22166
110,13.381,1706.465,2819.24,231.927,4771.049,0.2096
111,13.191,1400.371,2781.139,235.364,4430.101,0.22573
112,13.19,1427.691,2942.667,236.049,4619.634,0.21647
113,13.185,1547.848,2786.903,235.812,4583.783,0.21816
114,13.165,1403.812,2858.833,235.794,4513.308,0.22157
115,15.526,1437.001,2802.023,235.798,4490.384,0.2227
116,13.196,1541.824,2812.826,233.505,4601.386,0.21733
117,13.191,1426.798,3387.899,236.113,5064.038,0.19747
118,13.212,1345.872,2787.727,238.176,4385.024,0.22805
119,13.153,1397.005,2814.211,241.758,4466.163,0.22391
120,16.576,1386.806,2817.453,249.447,4470.319,0.2237
121,13.244,1698.497,3031.793,241.196,4986.49,0.20054
122,15.577,1393.003,2771.809,242.502,4422.926,0.22609
123,13.218,1413.424,2809.68,240.797,4477.156,0.22336
124,13.206,1595.981,2774.804,242.777,4626.804,0.21613
125,13.271,1405.516,3298.048,245.196,4962.067,0.20153
126,13.357,1403.73,2772.3,251.186,4440.607,0.22519
127,13.181,1430.299,2951.825,244.012,4639.354,0.21555
128,13.407,1455.594,2777.801,245.696,4492.534,0.22259
129,13.237,1419.479,4034.39,246.226,5713.368,0.17503
130,13.384,1501.87,2773.801,247.968,4537.056,0.22041
131,13.147,1340.361,2812.129,245.938,4411.611,0.22667
132,13.14,1429.213,3449.596,248.979,5140.963,0.19452
133,13.253,1474.294,2776.237,248.422,4512.242,0.22162
134,13.18,2047.024,2815.374,250.629,5126.242,0.19507
135,16.537,1377.571,2819.234,248.207,4461.587,0.22414
136,13.328,1368.918,3811.373,246.558,5440.212,0.18382
137,13.058,1333.771,2808.646,245.427,4400.939,0.22722
138,13.069,1391.715,2812.476,244.427,4461.723,0.22413
139,13.201,1557.208,3404.396,247.243,5222.083,0.19149
140,16.667,1500.153,2806.392,245.496,4568.746,0.21888
141,13.133,1417.296,2812.615,243.11,4487.958,0.22282
142,15.51,1368.284,2792.029,245.314,4421.172,0.22618
143,13.183,1408.037,3220.343,242.972,4884.572,0.20473
144,13.103,1580.59,2778.503,242.32,4614.552,0.21671
145,13.072,1358.31,3652.348,243.729,5267.496,0.18984
146,13.122,1418.865,2778.462,242.063,4452.547,0.22459
147,13.107,1442.737,3033.56,240.537,4729.978,0.21142
148,13.389,1596.331,2812.705,241.589,4664.049,0.21441
149,13.074,1357.146,3514.232,233.539,5118.028,0.19539
150,13.049,1344.018,2776.459,234.963,4368.525,0.22891
151,13.059,1577.39,3201.728,228.704,5020.918,0.19917
152,13.01,1382.949,2782.322,225.821,4404.136,0.22706
153,13.004,1412.99,3165.729,226.408,4818.167,0.20755
154,13.012,1391.818,2774.528,227.006,4406.4,0.22694
155,13.183,1400.066,2812.165,218.97,4444.421,0.225
156,13.053,1402.001,2781.74,220.075,4416.904,0.2264
157,13.103,1346.104,2817.326,220.398,4396.968,0.22743
