epoch,phase,train_total_loss,train_seg_loss,train_detail_loss,train_epnet_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
1,train/val,3.8409245591786156,2.913944744967516,0.9269798110824574,0.0,5.3844469303525075,11.922212538027528,12.68460248691781,2.4246442227363585,9.532372659133989,19.850381105203667,22.445815464243516,0.0004962484327046984,230.9654200077057,0:03:50,10.195547163658977,11.922212538027528,9.495843929990794,22.513461834132016,22.513461834132016,22.513461834132016,16.266098121249893,19.850381105203667,14.86406245400547,36.66244596296247,36.66244596296247,36.66244596296247
2,train/val,3.589145838171444,2.77977138926171,0.8093744441766598,0.0,9.127802695041352,18.585014033567724,19.59865403836742,2.30284961271286,11.09257036868572,24.60682952674717,24.070455893935573,0.000492493711467861,226.46865034103394,0:07:37,15.69906381247607,18.585014033567724,14.971411432441004,32.7740377949072,32.7740377949072,32.7740377949072,18.71908117509661,24.60682952674717,17.60864425781658,38.80126936022988,38.80126936022988,38.80126936022988
3,train/val,3.5200602440301374,2.7308467814290185,0.789213464125329,0.0,11.033681035659159,22.50424729365778,24.42395435761087,2.2114836339950563,10.78373619384545,22.061630293928484,29.798714264772407,0.0004887358068751748,240.75319504737854,0:11:38,18.024521819298997,22.50424729365778,17.964580927160682,39.259247921687496,39.259247921687496,39.259247921687496,20.05170306674227,22.061630293928484,16.84166462822242,45.91526878145638,45.91526878145638,45.91526878145638
4,train/val,3.4532652533391284,2.6761118284305043,0.7771534236250783,0.0,12.10336699307241,24.717491800980728,26.2051009465016,2.0311585850715637,16.41371148121154,28.68181570521825,43.08481605644773,0.0004849746889841331,240.92786645889282,0:15:39,19.069091994948998,24.717491800980728,19.45126411722316,41.527799985849946,41.527799985849946,41.527799985849946,26.502877903051186,28.68181570521825,23.252619637903535,60.22276471243537,60.22276471243537,60.22276471243537
5,train/val,3.3958838717613373,2.625936073056782,0.769947801592533,0.0,13.920622933209504,27.38795014218585,28.865369539158188,2.049817419052124,13.409000062888587,28.22729329505689,32.91829863679937,0.0004812103273099131,241.26304507255554,0:19:40,21.647587310336256,27.38795014218585,21.872451173682634,44.79926553174846,44.79926553174846,44.79926553174846,24.35886337559518,28.22729329505689,20.39423435513708,49.531628036782145,49.531628036782145,49.531628036782145
6,train/val,3.3485622409214724,2.5846562850844332,0.7639059520666243,0.0,15.355000513197151,28.467253776129866,33.19303862648375,1.9742364897727966,15.190208731233113,29.994541113550373,30.769934412692074,0.00047744269081074987,231.91033148765564,0:23:32,23.256404682601335,28.467253776129866,23.723584682133307,49.842002207889756,49.842002207889756,49.842002207889756,24.771987924290308,29.994541113550373,23.488151035043323,47.05964647131559,47.05964647131559,47.05964647131559
7,train/val,3.2880807096191242,2.5339978257868525,0.7540828821476183,0.0,16.943826080774947,30.062835766835725,36.145287123687275,1.8449489765167237,20.266544904042174,31.636726024717998,48.5144465434198,0.00047367174787278453,231.92116689682007,0:27:24,24.94714782078221,30.062835766835725,25.78664102155466,53.09810994904212,53.09810994904212,53.09810994904212,31.77449638330991,31.636726024717998,28.87323095337837,65.33296614916998,65.33296614916998,65.33296614916998
8,train/val,3.2462037912448354,2.4941647035116143,0.7520390837221416,0.0,17.964813276011746,31.7151861806155,38.99729340065873,1.8838367207050324,14.27436700554178,29.353617201827902,31.62468440738488,0.00046989746629436113,233.82003450393677,0:31:18,26.085372995236984,31.7151861806155,27.0672688930151,56.112306141457445,56.112306141457445,56.112306141457445,26.45626724680392,29.353617201827902,22.724308491824193,48.05281706811911,48.05281706811911,48.05281706811911
9,train/val,3.240709952358282,2.4891860382393265,0.7515239095463245,0.0,17.776078903616575,32.35529664610505,35.99936297770426,1.8432066679000854,16.565747796384354,30.026056713071466,36.19731081381205,0.0004661198132697498,233.75234389305115,0:35:11,25.988643805837864,32.35529664610505,27.012186641810658,52.94048764567522,52.94048764567522,52.94048764567522,26.32012182838809,30.026056713071466,25.706753051667537,53.15422249899696,53.15422249899696,53.15422249899696
10,train/val,3.1959284455747334,2.4488693992350337,0.7470590476232454,0.0,19.011165640028583,33.129457535449205,38.800144027616916,1.688623958826065,21.265917349699137,31.44104935687566,44.640718441484054,0.0004623387553722673,232.07067465782166,0:39:03,27.403013376736514,33.129457535449205,28.434747737891076,55.90793049882843,55.90793049882843,55.90793049882843,38.247575256055505,31.44104935687566,31.159409747695975,61.7263505359923,61.7263505359923,61.7263505359923
11,train/val,3.144307910513589,2.4012003216095277,0.7431075877809589,0.0,20.824041450352006,36.209024251763466,43.39177588122435,1.704724527835846,23.505937850594485,40.00225932619728,47.442490805980356,0.000458554258536769,227.10131525993347,0:42:50,28.835970135295074,36.209024251763466,30.751787854636913,60.5219868636916,60.5219868636916,60.5219868636916,33.20686566576254,40.00225932619728,34.19462825899643,64.35389221470757,64.35389221470757,64.35389221470757
12,train/val,3.121087150650743,2.3830100254608197,0.7380771209381791,0.0,21.49631645706806,35.870444016168086,42.92412569515446,1.5853875832557678,25.25611353553164,40.43455240264902,57.55140694813399,0.00045476628804148113,226.64578366279602,0:46:37,30.373109034652725,35.870444016168086,31.71029034923965,60.06561241691012,60.06561241691012,60.06561241691012,36.86531030999329,40.43455240264902,34.54525670421822,73.05730626332007,73.05730626332007,73.05730626332007
13,train/val,3.0645925090579293,2.3314369196525973,0.7331555881217864,0.0,23.047652537829595,36.799160674406394,46.81374788211272,1.561922775030136,22.44871889868702,32.78309785051466,51.91309879213987,0.0004509748084891432,226.73148202896118,0:50:24,32.55105493198259,36.799160674406394,33.40114144210635,63.7729757021159,63.7729757021159,63.7729757021159,41.36735134804284,32.78309785051466,32.21113950400598,68.34578348397946,68.34578348397946,68.34578348397946
14,train/val,3.049031269181304,2.3165717639961603,0.7324595068697974,0.0,24.14536939927959,38.51169522380378,49.756651870233966,1.622747905254364,22.192303139455987,37.776303957996646,49.61400080539655,0.00044717978378742816,227.35651326179504,0:54:11,33.56890786894682,38.51169522380378,34.85753585522022,66.45000572441849,66.45000572441849,66.45000572441849,35.319222303401894,37.776303957996646,32.54479091119867,66.32267105794418,66.32267105794418,66.32267105794418
15,train/val,3.0556589835104035,2.320123182491852,0.7355357994943416,0.0,24.0984405763698,38.54813269421193,48.81235965354684,1.5846658737659454,24.110403942139726,38.901426538318375,55.22612214799767,0.00044338117712860363,227.95763421058655,0:57:59,33.9383206129825,38.54813269421193,34.897697782188615,65.60256119476622,65.60256119476622,65.60256119476622,40.1252855978978,38.901426538318375,34.20439177611694,71.15570676350889,71.15570676350889,71.15570676350889
16,train/val,3.0101852599897425,2.278869472153254,0.7313157890398121,0.0,25.847557507660845,39.95407861322104,52.029915548050646,1.5887706127166747,23.63284652901409,46.39806512453829,43.79491089947988,0.00043957895096839955,227.66109561920166,1:01:47,36.1202066087073,39.95407861322104,36.94901923356858,68.44694395900792,68.44694395900792,68.44694395900792,31.97439954127593,46.39806512453829,34.13094193695662,60.91301927937464,60.91301927937464,60.91301927937464
17,train/val,2.992868158088879,2.2637759273819134,0.7290922309476305,0.0,24.975211709228287,38.615982066772226,52.197162572711854,1.5063790006637574,29.48673579823275,42.8602462176314,60.72874876902576,0.0004357730670040415,227.41665697097778,1:05:34,34.96474705876808,38.615982066772226,35.82509124400553,68.59150550559676,68.59150550559676,68.59150550559676,46.49621013978473,42.8602462176314,40.435267173973116,75.56675359464863,75.56675359464863,75.56675359464863
18,train/val,2.9374210253698827,2.213892520356467,0.7235285010023361,0.0,27.272165639233926,41.50217594626069,54.778528723927025,1.4545980248451233,25.932449425491544,42.86916963962547,49.60158072597154,0.00043196348615140955,226.52700996398926,1:09:21,37.45674481917054,41.50217594626069,38.55578000011795,70.78311077841235,70.78311077841235,70.78311077841235,41.5901921104802,42.86916963962547,36.970818940112856,66.31157302652815,66.31157302652815,66.31157302652815
