,Road,Sidewalk,Building,Wall,Fence,Pole,Traffic Light,Traffic Sign,Vegetation,Terrain,Sky,Person,Rider,Car,Truck,Bus,Train,Motorcycle,Bicycle
Road,99.20933618759385,0.504474190829069,0.01444515969009053,0.004376645307714601,0.010007981070926498,0.013340209531336562,0.0,0.0024807072371501263,0.01522282448072078,0.03654242506675506,0.00230518959725369,0.029170104924966467,0.0029009648204665105,0.13074992529928697,0.003050125851071568,0.00594298094560227,0.0009149508654007296,0.0012355746729343186,0.013503852215398423
Sidewalk,4.525444831543936,92.1634746089121,0.7330338537348161,0.12710654306274052,0.16313737964873443,0.49360430459153903,0.0,0.00995185424852788,0.4924584190830931,0.4606802702643598,0.0,0.25421510352954524,0.021648763012558827,0.3057214466917519,0.006617085330462486,0.011700943572159275,0.0005910993908004599,0.019175425629892055,0.21143806775298224
Building,0.015496596440171755,0.09624217710180444,96.74656447586082,0.06867028486414806,0.08586633789809894,0.4466436597921126,0.05008073712317858,0.08548027867187745,1.8353479489121058,0.004785940407539641,0.21575288006650248,0.14463589510627545,0.021883986137926584,0.0830291010847727,0.008221668521309781,0.00576501844517353,0.007362985242368678,0.0036193052458264956,0.07455072307798573
Wall,0.6012370661393519,2.8406080989057525,18.50004056076561,64.3838968550894,4.119946742598405,0.8338102634365909,0.0006400414389620017,0.06361714209589756,6.663411882294891,0.52464047904869,0.005581756735133735,0.4653398954946293,0.08194018887176323,0.595536231927202,0.01260732787908873,0.004807753134528524,0.004554713495869128,0.04100730614744917,0.2567756945007788
Fence,0.5540605559271451,1.1492552056764518,15.864664842886771,3.6426141235120966,69.93560400444525,1.5153140742282938,0.007897107863724634,0.20856873428638395,3.939061448672588,0.4454952649925064,0.022800572367487792,0.5036998748029213,0.03563004894744448,0.7890726362420615,0.02104565950888232,0.0012630054664206066,0.03161502104366529,0.1447537212461849,1.1875840978837213
Pole,0.2243459182002082,1.1366496192075608,9.260855610542444,0.216207720996652,0.6360694040790354,79.43678810124803,0.4897145424129077,0.4591373304560678,5.75076417229448,0.2867092772057205,0.5255771596187963,0.4203998066293578,0.03762441895557149,0.6419297906522484,0.004282873709480218,0.04534980905459949,0.016401710849558496,0.04625651037347396,0.36493622351381705
Traffic Light,0.0,0.0,5.905519430787445,0.0,0.003317862876045196,3.452125727095825,83.63010695130981,0.20156016971974566,6.118858013717151,0.0,0.5719995598301918,0.02372271956372315,0.023833314992924657,0.01681050523862899,0.003096672017642183,0.01205490178296421,0.03699417106790394,0.0,0.0
Traffic Sign,0.6422860654800879,0.10430650929354436,5.7117365566192815,0.10194522375066267,1.293476145194792,2.036412006940212,0.15323759304325923,85.88371029453266,3.090365249878943,0.014282497971180181,0.09830490853872008,0.19323186692581776,0.03500933773647496,0.34468209799564575,0.1260828093001199,0.03937115686429807,0.012872285771959176,0.007624984565555435,0.11106240959678917
Vegetation,0.03238537490820682,0.08759724613655381,1.3923231164326049,0.03475715513472039,0.07919845007435355,0.3471120504009845,0.03974116676782402,0.053490316313401495,97.23032279727458,0.2655286015797466,0.2643716663206352,0.046311400845411244,0.013789434560040559,0.071204392516837,0.0017454741422829449,0.005484427047137142,0.0036325752885376394,0.0022805094906206665,0.028723844765523844
Terrain,1.127576483017894,9.786484662478529,0.47852951583378206,0.8924822026836368,0.8227906370417623,0.5504636967795258,0.0,0.012196679722797012,13.221292622477614,72.490480688197,0.0,0.06769812981621308,0.029875307966163,0.3210743150252865,0.0005901619220708231,0.00565243974250055,0.01218356501341766,0.001704912219315711,0.17892398006249421
Sky,0.0001560196931957244,0.0,0.6029023498418529,0.0,4.2255333573842025e-05,0.1385942437119269,0.014909631931016413,0.013050397253767363,1.1225356892610376,3.250410274910925e-05,98.09860100066481,0.000130016410996437,0.0001690213342953681,0.0034486853016804913,0.0004843111309617278,6.50082054982185e-06,0.004937373207589695,0.0,0.0
Person,0.8061242510969138,0.6679523871558672,2.701238535621665,0.08385498577067348,0.139724734047911,0.6111509168145111,0.0009233281716490573,0.040005291509812795,0.9171334790065391,0.01927237711005669,0.0056910590943460085,91.11750744370384,1.4290853746160634,0.7158731192644533,0.020229280851583892,0.01959973891636863,0.0035086470522664183,0.035464195683793345,0.6656608545116836
Rider,0.2881155863850707,0.18961366595194565,1.230767829050069,0.006732145641112859,0.03507802202474595,0.15246032083482655,0.00025308818199672406,0.030724905294402298,1.2140640090382853,0.015742084920196235,0.0034926169115547918,8.139973962287836,82.68320041142015,1.0239441667223461,0.003441999275155447,0.08012771842016284,0.0,1.0442924565548828,3.857975011085262
Car,0.4260586219095452,0.04536823684673962,0.4412767950132341,0.014047930749510763,0.048505624789128274,0.11547395727764931,0.0005122949361637819,0.04302942630484157,0.37262592523437116,0.01807597524758285,0.0009743648785860164,0.10474087611508065,0.025676690967136998,98.06762182662375,0.13494786151770521,0.04713280829352598,0.0028293413141071613,0.012268291804601938,0.07883315017673255
Truck,0.5310825875268231,0.13600409533908822,2.5580290782117743,0.1413660042656159,0.01434672928989849,0.28088432369844185,0.009963006451318396,0.22215692930721598,1.046912717904537,0.023838757254427287,0.1468003714208805,0.039308589089747124,0.08350810861923237,12.574401014994868,81.69089247162627,0.391383122522155,0.0,0.0,0.10912209247771275
Bus,0.4355171871842655,0.06401692898358742,1.2160971283594153,0.0898650620804239,0.5498271178068659,0.20361368688116033,0.009317676642942141,0.05248209434428255,1.240850715103617,0.006062102876131031,0.0009542198971687735,0.08492557084802084,0.028065291093199222,1.74669952176744,0.6343597745795819,93.59687577179551,0.026269112463234472,0.0,0.014201037293158804
Train,0.2632680914420422,0.024039207171438322,4.370095226278731,9.693228698160612e-05,0.13347575917367166,0.7104167312881913,0.08171391792549397,0.11428316635131364,2.5271216538974532,0.0,0.7214670120040945,0.10614085424485871,0.007366853810602065,0.4487964887248364,0.057577778467074035,4.924257110952572,85.44125515679767,0.0,0.06862805918297714
Motorcycle,0.3885305347435959,0.7723997998395975,1.7671695811026646,0.13737035843792628,0.7027549474578944,0.8175044384883777,0.0,0.0378385418451773,0.9613183167332725,0.011516077952880049,0.0,4.163062179966137,2.7696167476676514,5.435588793759383,0.0006854808305285742,0.0,0.3320469143080414,74.32339614622677,7.3792011406401015
Bicycle,0.43374753535066246,0.6387141160508727,2.170474942251296,0.08475703265828526,0.4464311108890418,0.8092121193486023,3.074806191122266e-05,0.022692069690482323,0.9876431226194273,0.11827242014151795,0.0,1.1900576141810062,3.132458807205808,1.1485323565699,0.004719827503372678,0.015005054212676656,0.0011530523216708498,0.20954804192498244,88.58655002901848
