Epoch,Phase,Train_Total_Loss,Train_Native_Loss,Train_CE_Loss,Train_Lovasz_Loss,Train_Boundary_Loss,Train_mIoU,Val_Total_Loss,Val_CE_Loss,Val_mIoU,Val_mAcc,Val_aAcc,LR_Backbone,LR_Head,Epoch_Time_sec,Epoch_Time_min,Val_mIoU_pct,Val_mAcc_pct,Val_aAcc_pct,Train_mIoU_pct
1,1,14.696721359796786,,,,,0.8696802886091568,1.5764123923033475,1.5764123923033475,0.8020223003253039,0.8608549478328067,0.9627643265543798,0.0,2.04e-05,,,80.20223003253038,86.08549478328067,96.27643265543799,86.96802886091568
2,1,13.997609452745941,,,,,0.840913860684094,0.6803017321825028,0.6803017321825028,0.7857133880575133,0.8258219921569272,0.9612216728162392,0.0,4.019999999999998e-05,,,78.57133880575134,82.58219921569273,96.12216728162392,84.0913860684094
3,1,13.66974535450169,,,,,0.838895464074898,0.5550382742881775,0.5550382742881775,0.7828968296613072,0.8251658332077717,0.9610523937865771,0.0,6e-05,,,78.28968296613073,82.51658332077717,96.10523937865771,83.8895464074898
4,1,13.584510443430261,,,,,0.8444509551305368,0.5166443080306053,0.5166443080306053,0.7940648814091331,0.8360533841594784,0.9626423344666064,0.0,5.997507559037034e-05,,,79.40648814091331,83.60533841594784,96.26423344666064,84.44509551305369
5,1,13.58673373660387,,,,,0.8407157424225711,0.4290994484424591,0.4290994484424591,0.7837193383314119,0.82504328726196,0.9609749231566475,0.0,5.990034384570122e-05,,,78.3719338331412,82.504328726196,96.09749231566475,84.07157424225711
6,2,13.491259054441779,,,,,0.845081709079922,0.43338384145498277,0.43338384145498277,0.7906758437224647,0.8339629003494348,0.9625095247125383,1.3600000000000007e-06,1.3599999999999971e-05,,,79.06758437224647,83.39629003494348,96.25095247125383,84.5081709079922
7,2,13.655280732435113,,,,,0.8447608565662871,0.44372064572572706,0.44372064572572706,0.7848513586333549,0.8285397369041749,0.9617514287653582,2.6799999999999917e-06,2.679999999999991e-05,,,78.48513586333549,82.85397369041749,96.17514287653583,84.47608565662871
8,2,13.990859939816339,,,,,0.84809313699355,0.4298098455071449,0.4298098455071449,0.7952107889487646,0.8392964003073398,0.9625076937788983,4e-06,4e-05,,,79.52107889487647,83.92964003073398,96.25076937788984,84.809313699355
9,2,14.094267059190207,,,,,0.8365452971995609,0.4299702806174755,0.4299702806174755,0.7896579712540711,0.8373022612490756,0.9627785890803342,3.9983772087219415e-06,3.998339759692438e-05,,,78.96579712540711,83.73022612490756,96.27785890803342,83.65452971995609
10,2,14.078940028862098,,,,,0.8460028463833321,0.431616394251585,0.431616394251585,0.7837177453668809,0.8268082608472064,0.9615533226179042,3.993511535863678e-06,3.993361802075909e-05,,,78.3717745366881,82.68082608472064,96.15533226179042,84.6002846383332
11,2,13.778515965167355,,,,,0.8418328440527275,0.43429204347729683,0.43429204347729683,0.7836812855483734,0.8332198839813174,0.9627604182362347,3.985411079857499e-06,3.985074412469587e-05,,,78.36812855483734,83.32198839813174,96.27604182362347,84.18328440527276
12,2,13.76155161649169,,,,,0.8484158952728734,0.4399065605700016,0.4399065605700016,0.7926071831492175,0.8373809204651521,0.9627196622422735,3.9740893231130096e-06,3.9734913844156064e-05,,,79.26071831492175,83.7380920465152,96.27196622422734,84.84158952728734
13,2,14.001444535361253,,,,,0.8408154246721314,0.39896527108550073,0.39896527108550073,0.7927716404523043,0.8420650309220392,0.9622630498565662,3.959565109576975e-06,3.9586319967210445e-05,,,79.27716404523044,84.20650309220392,96.22630498565663,84.08154246721314
14,2,13.898237180613638,,,,,0.8400045383795537,0.4506085272431374,0.4506085272431374,0.7990689763961352,0.8492698978914656,0.9637608953378475,3.941862613369432e-06,3.940520981370252e-05,,,79.90689763961352,84.92698978914656,96.37608953378475,84.00045383795536
15,2,14.129187461427177,,,,,0.8470267888285385,0.40367145265638826,0.40367145265638826,0.7944328142132744,0.8420572283392762,0.962960491628648,3.921011298548273e-06,3.9191884823609196e-05,,,79.44328142132744,84.20572283392762,96.2960491628648,84.70267888285386
16,2,13.842448543363878,,,,,0.8481593441474022,0.3758806425035,0.3758806425035,0.7970963862462521,0.8481429283923632,0.9639423562374869,3.897045870069283e-06,3.894670005532357e-05,,,79.70963862462521,84.81429283923632,96.3942356237487,84.81593441474023
17,2,13.950367774270731,,,,,0.8469583011364822,0.38335714921355246,0.38335714921355246,0.7974992137646342,0.8481088041070848,0.9632952122517129,3.870006216023003e-06,3.867006359469543e-05,,,79.74992137646342,84.81088041070848,96.32952122517129,84.69583011364821
18,2,13.760110853499187,,,,,0.8394656390167855,0.38835539588332174,0.38835539588332174,0.7922430174099356,0.8423893551236287,0.9633128323980826,3.839937341245047e-06,3.8362435875812585e-05,,,79.22430174099357,84.23893551236287,96.33128323980826,83.94656390167854
19,2,13.910749957476515,,,,,0.838530695134127,0.36342827388644217,0.36342827388644217,0.7965062774988299,0.8465483892542549,0.9636444058654089,3.806889292409988e-06,3.802432891465329e-05,,,79.65062774988299,84.6548389254255,96.3644405865409,83.8530695134127
20,2,13.869394105797095,,,,,0.8479060494268708,0.4088188709914684,0.4088188709914684,0.8001526755381597,0.8495618641861004,0.9638251383173584,3.7709170747335954e-06,3.765630545688711e-05,,,80.01526755381597,84.95618641861003,96.38251383173584,84.79060494268708
21,2,13.672352035973965,,,,,0.841098997214462,0.39254780927300453,0.39254780927300453,0.7932533234758858,0.8434258025603587,0.96413244727937,3.7320805604221807e-06,3.7258978041239524e-05,,,79.32533234758858,84.34258025603587,96.413244727937,84.1098997214462
22,2,13.700380275292773,,,,,0.8323892791579469,0.40671814331412315,0.40671814331412315,0.7930722131772384,0.842619459794672,0.9638616817463099,3.6904443890210647e-06,3.6833007979981996e-05,,,79.30722131772384,84.2619459794672,96.386168174631,83.23892791579469
23,2,13.844915636610327,,,,,0.8452604417328954,0.3957693445086479,0.3957693445086479,0.7931450380214651,0.8443864747156586,0.963817825487704,3.646077859828512e-06,3.6379104258242825e-05,,,79.3145038021465,84.43864747156586,96.3817825487704,84.52604417328953
24,2,13.850845990761384,,,,,0.848274462320472,0.4060345765352249,0.4060345765352249,0.7954377641451226,0.8438333094299901,0.9631898239731129,3.599054816553873e-06,3.5898022353971526e-05,,,79.54377641451225,84.38333094299901,96.31898239731129,84.8274462320472
25,2,13.722563339867044,,,,,0.8500525943723707,0.3722561520040035,0.3722561520040035,0.7980807341544648,0.8483821455048597,0.9633172161701093,3.5494535244120083e-06,3.539056298052023e-05,,,79.80807341544647,84.83821455048597,96.33172161701094,85.00525943723707
26,2,13.62248874303873,,,,,0.8410405077521584,0.36504464414715765,0.36504464414715765,0.7874249115117982,0.8439192664708903,0.9620375058762856,3.497356539858576e-06,3.4857570753935164e-05,,,78.74249115117982,84.39192664708904,96.20375058762856,84.10405077521584
27,2,13.771989134228622,,,,,0.8504068769986087,0.3948586269617081,0.3948586269617081,0.7995467480226539,0.8503367525466498,0.9639275920858777,3.4428505731829577e-06,3.429993278717693e-05,,,79.95467480226539,85.03367525466497,96.39275920858778,85.04068769986087
28,2,13.641938205044303,,,,,0.8492588013806494,0.4031872634589672,0.4031872634589672,0.7911388200266669,0.8491620296380744,0.9629705295941966,3.3860263441875387e-06,3.3718577213608465e-05,,,79.11388200266668,84.91620296380744,96.29705295941966,84.92588013806494
29,2,13.552918541888383,,,,,0.8460974380935574,0.3590122711956501,0.3590122711956501,0.7968830813855758,0.8545258935322506,0.964170984125054,3.3269784311935427e-06,3.311447164220843e-05,,,79.68830813855759,85.45258935322506,96.4170984125054,84.60974380935575
30,2,13.57958191292512,,,,,0.8486813887582147,0.37000937268137934,0.37000937268137934,0.788839527305081,0.8414722806618616,0.962997276056012,3.2658051136247642e-06,3.2488621547081616e-05,,,78.8839527305081,84.14722806618616,96.2997276056012,84.86813887582147
31,2,13.68285775296866,,,,,0.8465692160426894,0.37519259095191954,0.37519259095191954,0.7986660395062851,0.8528539193718032,0.9639613504019546,3.202608208431148e-06,3.1842068593946974e-05,,,79.86660395062852,85.28539193718032,96.39613504019546,84.65692160426894
